Proteins,Compartments,Cyto,Nsol,NucI,Horg,Lorg,Colour
SPAG9,C4,1.9627802218596635,0.024150825329653906,-0.9390894007556662,-0.8174700615528565,-0.8964789839856808,deepskyblue2
SPATA5,C1,1.2793901015370184,-0.7018325254557265,-0.4570465220430382,-0.4689575802457946,0.864001498550043,lightblue
SPATA5L1,C1,1.091222109920174,-0.6110849931587461,-0.3225596624993627,-0.23201924962489,0.757554162637265,lightblue
SPC24,C3,1.6052137543730747,0.198974212894562,-0.43749339958680017,-0.44594655372711245,-0.7540757290349698,cyan
SPCS1,S2,-1.0370697859652873,-1.6558757187200075,0.33867454839825173,0.9547247022522971,0.5340376725280356,orange
SPCS2,S2,-0.938939274475542,-1.2876833488426376,0.30919438425127177,0.8598856239479189,0.49689142383444956,orange
SPCS3,S2,-1.0454069338356795,-1.3440536123789546,0.2986526442817704,0.8697429265645074,0.4655416110818809,orange
SPECC1,S3,-1.0007551637650978,-0.7360869397063667,0.332717899110687,0.7946682514552748,0.4647812812645974,salmon
SPEN,N3,-1.0891370772505675,-0.9464582919585691,1.0571550515209451,0.1502766066598791,0.05427053931079336,grey50
SPG7,M2,-0.8748048011840612,-1.1912477918532638,0.3750554426292824,1.130489166907489,-0.1278667467699976,tan4
SPIN1,N4,-0.6164503879235844,0.7130494186163452,0.44500355961150306,-0.3302059933435407,-0.01871044215570042,grey30
SPOP,N2,-0.8763737631350796,-0.6664249288565567,0.8718573804764853,0.18535597176431814,0.36250220273745515,grey70
SPPL2A,S1,-1.2577457788822535,-1.083620893604642,-0.051564119460814406,0.6965940093777243,0.9697049408109986,gold
SPR,C1,1.212026602572771,0.05394475907539881,-0.1505662637432868,0.14386637506095593,-0.6521139937804671,lightblue
SPRED1,S4,-0.29018683383519234,-0.8271918273433789,0.2617985677772834,0.6639156677529849,0.2645222308827038,tomato2
SPRY1,S1,-1.1986327577790525,-1.1786933324628146,0.05811692813014366,0.6904205262907701,1.0164921586044957,gold
SPRYD3,S1,-0.22684754195561896,-1.0149558766376785,-0.20845632454525387,0.1652225472320532,1.2673464315078566,gold
SPRYD7,S1,-0.8742764241710004,-0.9725341105572816,-0.2883179881100381,0.719077631277617,0.8851313780332422,gold
SPTLC1,S3,-0.7394616457349759,-1.0405078985697531,0.13850815013786577,0.7105029961105389,0.4574885501966979,salmon
